Node	Dist.	Path
0	0	start
1	6	1 <- 244 <- 573 <- start
2	5	2 <- 152 <- 573 <- start
3	7	3 <- 79 <- 416 <- 331 <- 132 <- start
4	6	4 <- 372 <- 132 <- start
5	5	5 <- 211 <- 575 <- 372 <- 132 <- start
6	4	6 <- 331 <- 132 <- start
7	5	7 <- 208 <- 440 <- 244 <- 573 <- start
8	6	8 <- 535 <- 132 <- start
9	5	9 <- 419 <- 299 <- 491 <- 433 <- start
10	4	10 <- 535 <- 132 <- start
11	6	11 <- 80 <- 299 <- 491 <- 433 <- start
12	5	12 <- 128 <- 438 <- 250 <- 132 <- start
13	6	13 <- 14 <- 474 <- 535 <- 132 <- start
14	4	14 <- 474 <- 535 <- 132 <- start
15	5	15 <- 261 <- 257 <- 132 <- start
16	6	16 <- 106 <- 111 <- 403 <- 433 <- start
17	6	17 <- 440 <- 244 <- 573 <- start
18	5	18 <- 48 <- 403 <- 433 <- start
19	5	19 <- 131 <- 511 <- 278 <- 573 <- start
20	4	20 <- 441 <- 73 <- start
21	4	21 <- 535 <- 132 <- start
22	4	22 <- 250 <- 132 <- start
23	5	23 <- 240 <- 328 <- 271 <- 433 <- start
24	6	24 <- 273 <- 565 <- 568 <- 535 <- 132 <- start
25	6	25 <- 286 <- 535 <- 132 <- start
26	4	26 <- 87 <- 73 <- start
27	5	27 <- 472 <- 91 <- 573 <- start
28	5	28 <- 535 <- 132 <- start
29	6	29 <- 83 <- 58 <- 205 <- 244 <- 573 <- start
30	6	30 <- 301 <- 108 <- 371 <- 573 <- start
31	5	31 <- 58 <- 205 <- 244 <- 573 <- start
32	6	32 <- 94 <- 271 <- 433 <- start
33	5	33 <- 274 <- start
34	4	34 <- 372 <- 132 <- start
35	6	35 <- 119 <- 353 <- 132 <- start
36	5	36 <- 575 <- 372 <- 132 <- start
37	5	37 <- 123 <- 535 <- 132 <- start
38	6	38 <- 403 <- 433 <- start
39	5	39 <- 472 <- 91 <- 573 <- start
40	3	40 <- 294 <- 132 <- start
41	4	41 <- 215 <- 371 <- 573 <- start
42	4	42 <- 52 <- 257 <- 132 <- start
43	5	43 <- 255 <- 87 <- 73 <- start
44	6	44 <- 416 <- 331 <- 132 <- start
45	5	45 <- 411 <- 294 <- 132 <- start
46	5	46 <- 152 <- 573 <- start
47	4	47 <- 344 <- 244 <- 573 <- start
48	3	48 <- 403 <- 433 <- start
